player_name,position,fantasy_points,overall_rank,survival_pick_5,survival_pick_24,survival_pick_33,survival_pick_52,survival_pick_61,survival_pick_80,survival_pick_89
Alvin Kamara,RB,177.91,41,1.0,0.931,0.8254,0.3222,0.0818,0.0012,0.0
TreVeyon Henderson,RB,154.83,42,1.0,0.9464,0.839,0.3762,0.1064,0.002,0.0006
Kenneth Walker III,RB,182.15,43,1.0,0.9516,0.8532,0.4126,0.134,0.0026,0.0
Breece Hall,RB,182.58,44,1.0,0.9738,0.8738,0.46,0.1584,0.0036,0.0004
Xavier Worthy,WR,146.46,45,1.0,0.9768,0.8826,0.5164,0.208,0.0032,0.0006
Marvin Harrison Jr.,WR,154.41,46,1.0,0.9882,0.8874,0.5432,0.2432,0.0074,0.0018
Garrett Wilson,WR,144.32,47,1.0,1.0,0.906,0.5786,0.2828,0.0092,0.002
DK Metcalf,WR,155.11,48,1.0,1.0,0.9158,0.6068,0.315,0.0088,0.0008
Zay Flowers,WR,145.11,49,1.0,1.0,0.9362,0.6432,0.3592,0.0126,0.0016
Calvin Ridley,WR,142.04,50,1.0,1.0,0.9484,0.6662,0.4208,0.0254,0.0034
D'Andre Swift,RB,166.61,51,1.0,1.0,0.9626,0.6886,0.452,0.0238,0.004
Courtland Sutton,WR,144.25,52,1.0,1.0,0.9676,0.7072,0.4874,0.0314,0.005
DJ Moore,WR,142.77,53,1.0,1.0,0.9794,0.7354,0.5386,0.041,0.0046
Rashee Rice,WR,117.59,54,1.0,1.0,0.9778,0.737,0.5608,0.0556,0.01
Jameson Williams,WR,141.97,55,1.0,1.0,0.9858,0.762,0.5894,0.0758,0.0128
George Pickens,WR,137.39,56,1.0,1.0,0.9816,0.7838,0.6166,0.0914,0.018
Rome Odunze,WR,119.44,57,1.0,1.0,0.9834,0.7778,0.6306,0.1072,0.0178
DeVonta Smith,WR,137.69,58,1.0,1.0,0.982,0.7896,0.651,0.1256,0.0288
Jaylen Waddle,WR,127.09,59,1.0,1.0,0.9844,0.7914,0.6554,0.1532,0.0388
Patrick Mahomes,QB,317.03,60,1.0,1.0,0.985,0.81,0.6796,0.1774,0.0432
Baker Mayfield,QB,307.24,61,1.0,1.0,0.986,0.8124,0.6878,0.1986,0.0504
Tetairoa McMillan,WR,122.06,62,1.0,1.0,0.9848,0.8128,0.6994,0.239,0.0668
Jerry Jeudy,WR,132.05,63,1.0,1.0,0.9902,0.8296,0.7276,0.2758,0.081
Travis Hunter,WR,121.12,64,1.0,1.0,0.9852,0.8218,0.7154,0.3082,0.0964
David Montgomery,RB,164.55,65,1.0,1.0,0.986,0.8406,0.744,0.3396,0.1204
Tony Pollard,RB,157.44,66,1.0,1.0,0.9952,0.8452,0.7562,0.3682,0.1332
T.J. Hockenson,TE,106.52,67,1.0,1.0,1.0,0.8536,0.7694,0.4226,0.1638
Isiah Pacheco,RB,144.53,68,1.0,1.0,1.0,0.8668,0.7784,0.4278,0.1834
Aaron Jones Sr.,RB,158.85,69,1.0,1.0,1.0,0.8794,0.7928,0.4776,0.2168
RJ Harvey,RB,140.69,70,1.0,1.0,1.0,0.8844,0.7956,0.4898,0.2458
Chris Godwin,WR,119.32,71,1.0,1.0,1.0,0.9018,0.821,0.5274,0.2948
Matthew Golden,WR,122.34,72,1.0,1.0,1.0,0.9052,0.8234,0.556,0.3218
Jakobi Meyers,WR,128.33,73,1.0,1.0,1.0,0.9052,0.8316,0.5814,0.3568
Cooper Kupp,WR,113.94,74,1.0,1.0,1.0,0.9236,0.8478,0.5976,0.379
Jordan Addison,WR,112.32,75,1.0,1.0,1.0,0.9248,0.852,0.6148,0.4218
Emeka Egbuka,WR,88.83,76,1.0,1.0,1.0,0.9404,0.8672,0.6382,0.4576
Kaleb Johnson,RB,145.82,77,1.0,1.0,1.0,0.9446,0.8708,0.6556,0.4888
David Njoku,TE,100.35,78,1.0,1.0,1.0,0.9562,0.8852,0.6884,0.5222
Evan Engram,TE,83.62,79,1.0,1.0,1.0,0.9598,0.8912,0.6848,0.5436
Bo Nix,QB,296.48,80,1.0,1.0,1.0,0.964,0.9032,0.707,0.5678
Kyler Murray,QB,307.99,81,1.0,1.0,1.0,0.9718,0.9118,0.7276,0.5908
Brock Purdy,QB,299.12,82,1.0,1.0,1.0,0.9778,0.9246,0.7354,0.605
Joe Mixon,RB,159.11,83,1.0,1.0,1.0,0.9886,0.9354,0.7608,0.635
Jaylen Warren,RB,129.42,84,1.0,1.0,1.0,0.9942,0.9394,0.7774,0.656
Austin Ekeler,RB,111.59,85,1.0,1.0,1.0,1.0,0.9406,0.7732,0.6658
J.K. Dobbins,RB,118.77,86,1.0,1.0,1.0,1.0,0.9532,0.7858,0.6816
Rhamondre Stevenson,RB,113.8,87,1.0,1.0,1.0,1.0,0.959,0.8018,0.6946
Javonte Williams,RB,117.52,88,1.0,1.0,1.0,1.0,0.9678,0.8072,0.7102
Stefon Diggs,WR,116.54,89,1.0,1.0,1.0,1.0,0.9672,0.814,0.7202
Keon Coleman,WR,118.24,90,1.0,1.0,1.0,1.0,0.9822,0.8438,0.7542
Jauan Jennings,WR,125.91,91,1.0,1.0,1.0,1.0,0.9854,0.8352,0.7374
Ricky Pearsall,WR,118.33,92,1.0,1.0,1.0,1.0,0.992,0.8572,0.7698
Khalil Shakir,WR,109.76,93,1.0,1.0,1.0,1.0,1.0,0.8684,0.7858
Jayden Reed,WR,124.36,94,1.0,1.0,1.0,1.0,1.0,0.8806,0.8056
Michael Pittman Jr.,WR,107.63,95,1.0,1.0,1.0,1.0,1.0,0.878,0.8128
Justin Herbert,QB,282.86,96,1.0,1.0,1.0,1.0,1.0,0.8862,0.8112
Caleb Williams,QB,276.89,97,1.0,1.0,1.0,1.0,1.0,0.8892,0.8226
Dak Prescott,QB,279.37,98,1.0,1.0,1.0,1.0,1.0,0.89,0.8268
Justin Fields,QB,290.02,99,1.0,1.0,1.0,1.0,1.0,0.8896,0.8244
Darnell Mooney,WR,110.51,100,1.0,1.0,1.0,1.0,1.0,0.8888,0.8236
Keenan Allen,WR,91.93,101,1.0,1.0,1.0,1.0,1.0,0.8882,0.8232
Josh Downs,WR,99.09,102,1.0,1.0,1.0,1.0,1.0,0.9054,0.8438
Rashid Shaheed,WR,113.45,103,1.0,1.0,1.0,1.0,1.0,0.898,0.8384
Jayden Higgins,WR,84.8,104,1.0,1.0,1.0,1.0,1.0,0.901,0.8474
Tyler Warren,TE,88.35,105,1.0,1.0,1.0,1.0,1.0,0.9096,0.8516
Cam Skattebo,RB,99.23,106,1.0,1.0,1.0,1.0,1.0,0.9082,0.8546
Tank Bigsby,RB,98.24,107,1.0,1.0,1.0,1.0,1.0,0.9102,0.8566
Jordan Mason,RB,117.45,108,1.0,1.0,1.0,1.0,1.0,0.9238,0.8718
Tyjae Spears,RB,101.41,109,1.0,1.0,1.0,1.0,1.0,0.9174,0.8652
Travis Etienne Jr.,RB,113.21,110,1.0,1.0,1.0,1.0,1.0,0.9258,0.8776
Quinshon Judkins,RB,108.48,111,1.0,1.0,1.0,1.0,1.0,0.9274,0.8824
Rachaad White,RB,101.34,112,1.0,1.0,1.0,1.0,1.0,0.948,0.9022
Drake Maye,QB,261.18,113,1.0,1.0,1.0,1.0,1.0,0.9474,0.904
Jordan Love,QB,266.15,114,1.0,1.0,1.0,1.0,1.0,0.9536,0.9106
Jared Goff,QB,279.35,115,1.0,1.0,1.0,1.0,1.0,0.9554,0.911
J.J. McCarthy,QB,277.08,116,1.0,1.0,1.0,1.0,1.0,0.965,0.9176
Colston Loveland,TE,76.61,117,1.0,1.0,1.0,1.0,1.0,0.9592,0.9158
Tucker Kraft,TE,92.49,118,1.0,1.0,1.0,1.0,1.0,0.973,0.9318
Dallas Goedert,TE,85.74,119,1.0,1.0,1.0,1.0,1.0,0.9766,0.9314
Kyle Pitts Sr.,TE,82.8,120,1.0,1.0,1.0,1.0,1.0,0.9822,0.9428
Dalton Kincaid,TE,83.32,121,1.0,1.0,1.0,1.0,1.0,0.9876,0.9484
Trey Benson,RB,95.12,122,1.0,1.0,1.0,1.0,1.0,0.9888,0.9486
Zach Charbonnet,RB,108.88,123,1.0,1.0,1.0,1.0,1.0,0.996,0.9558
Tyler Allgeier,RB,84.19,124,1.0,1.0,1.0,1.0,1.0,1.0,0.9626
Jaydon Blue,RB,83.36,125,1.0,1.0,1.0,1.0,1.0,1.0,0.9652
Jaylen Wright,RB,89.37,126,1.0,1.0,1.0,1.0,1.0,1.0,0.9686
Braelon Allen,RB,71.6,127,1.0,1.0,1.0,1.0,1.0,1.0,0.973
Adam Thielen,WR,91.95,128,1.0,1.0,1.0,1.0,1.0,1.0,0.9822
Xavier Legette,WR,87.22,129,1.0,1.0,1.0,1.0,1.0,1.0,0.9858
Cedric Tillman,WR,90.81,130,1.0,1.0,1.0,1.0,1.0,1.0,0.9924
Hollywood Brown,WR,93.8,131,1.0,1.0,1.0,1.0,1.0,1.0,0.9968
Brandon Aiyuk,WR,82.48,132,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hunter Henry,TE,78.04,133,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jake Ferguson,TE,82.62,134,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tua Tagovailoa,QB,250.79,135,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Matthew Stafford,QB,255.6,136,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C.J. Stroud,QB,269.01,137,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jerome Ford,RB,91.0,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Najee Harris,RB,105.88,139,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bhayshul Tuten,RB,73.0,140,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ray Davis,RB,87.1,141,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Will Shipley,RB,0.0,142,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nick Chubb,RB,80.19,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wan'Dale Robinson,WR,81.37,144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marvin Mims Jr.,WR,106.4,145,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Christian Kirk,WR,84.74,146,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rashod Bateman,WR,102.02,147,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DeMario Douglas,WR,75.5,148,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Luther Burden III,WR,80.35,149,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tre Harris,WR,73.87,150,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Michael Wilson,WR,76.39,151,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brian Robinson Jr.,RB,145.54,152,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Justice Hill,RB,56.74,153,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MarShawn Lloyd,RB,68.99,154,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jack Bech,WR,73.71,155,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kyle Williams,WR,67.18,156,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zach Ertz,TE,84.35,157,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jonnu Smith,TE,76.65,158,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darren Waller,TE,78.14,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cade Otton,TE,76.23,160,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Romeo Doubs,WR,82.37,185,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tyler Lockett,WR,78.68,186,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Roschon Johnson,RB,79.25,187,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dylan Sampson,RB,85.84,188,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nick Westbrook-Ikhine,WR,64.86,189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trevor Lawrence,QB,261.22,190,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cameron Ward,QB,241.54,191,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Michael Penix Jr.,QB,250.15,192,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Joshua Palmer,WR,79.63,193,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Diontae Johnson,WR,67.75,194,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brandin Cooks,WR,60.74,195,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darius Slayton,WR,65.69,196,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pat Freiermuth,TE,68.56,197,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bryce Young,QB,250.3,198,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Geno Smith,QB,248.31,199,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sam Darnold,QB,242.67,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kendre Miller,RB,64.65,201,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rico Dowdle,RB,80.81,202,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Miles Sanders,RB,64.62,203,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Amari Cooper,WR,0.0,204,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DJ Giddens,RB,0.0,205,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Samaje Perine,RB,53.81,206,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ray-Ray McCloud III,WR,61.01,207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pat Bryant,WR,52.96,208,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Quentin Johnston,WR,70.4,209,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dont'e Thornton Jr.,WR,53.23,210,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adonai Mitchell,WR,52.01,211,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Woody Marks,RB,57.15,212,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kareem Hunt,RB,67.86,213,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blake Corum,RB,59.22,214,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mason Taylor,TE,59.56,215,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Elijah Arroyo,TE,60.2,216,1.0,1.0,1.0,1.0,1.0,1.0,1.0
